Month,Hour,Average_RRP,SD_RRP
1,0,98.94,36.99
1,1,89.85,32.51
1,2,85.61,27.22
1,3,83.0,25.91
1,4,89.98,26.86
1,5,98.2,37.22
1,6,66.86,50.52
1,7,49.48,48.82
1,8,50.33,51.48
1,9,52.52,57.15
1,10,41.97,35.56
1,11,46.0,40.69
1,12,51.4,46.79
1,13,64.98,55.76
1,14,76.92,55.3
1,15,104.05,388.42
1,16,103.07,89.2
1,17,242.15,1056.05
1,18,890.99,2837.32
1,19,225.82,601.69
1,20,148.25,75.91
1,21,126.08,53.83
1,22,120.31,55.72
1,23,106.04,43.46
2,0,92.95,33.07
2,1,85.94,27.85
2,2,79.23,25.83
2,3,76.41,20.67
2,4,81.63,21.59
2,5,104.99,37.37
2,6,94.37,45.93
2,7,52.65,49.16
2,8,39.5,41.04
2,9,38.84,42.73
2,10,34.24,38.97
2,11,36.06,38.12
2,12,47.37,50.59
2,13,55.31,53.25
2,14,70.63,68.67
2,15,80.43,78.08
2,16,100.49,84.52
2,17,278.4,1215.57
2,18,411.39,1348.6
2,19,195.68,453.77
2,20,135.93,59.26
2,21,114.78,46.89
2,22,106.32,43.26
2,23,95.32,29.58
3,0,83.03,17.58
3,1,77.14,16.56
3,2,73.8,15.82
3,3,74.29,16.28
3,4,78.58,18.62
3,5,93.13,25.21
3,6,113.36,52.83
3,7,59.18,39.31
3,8,49.44,60.69
3,9,42.5,61.49
3,10,36.95,62.4
3,11,32.21,63.77
3,12,39.51,61.89
3,13,60.39,72.38
3,14,70.02,69.19
3,15,81.95,57.52
3,16,99.63,69.16
3,17,256.39,1064.22
3,18,413.53,1617.79
3,19,137.0,63.32
3,20,109.81,41.6
3,21,96.66,25.61
3,22,96.97,25.06
3,23,90.57,22.03
4,0,109.3,37.96
4,1,98.73,31.95
4,2,92.79,30.37
4,3,91.99,28.09
4,4,96.04,32.2
4,5,105.02,39.95
4,6,131.08,58.35
4,7,68.72,49.48
4,8,27.19,40.74
4,9,14.26,43.92
4,10,7.48,47.61
4,11,11.01,47.55
4,12,18.7,48.62
4,13,32.29,48.12
4,14,57.06,57.87
4,15,74.86,49.01
4,16,130.29,70.7
4,17,259.28,172.02
4,18,255.18,567.3
4,19,140.33,44.09
